Name1,Name2,Set,Card_type1,Card_type2,Mana_Cost1,Mana_Cost2,Mana_Value1,Mana_Value2,Color,Rarity,Price
Cunning Survivor,,HOU,Creature,,1U,,2.0,0.0,U,C,0.03
Cunning Wish,,JUD,Instant,,2U,,3.0,0.0,U,R,9.99
Cuombajj Witches,,CMR,Creature,,BB,,2.0,0.0,B,U,4.01
Curate,,BRO,Instant,,1U,,2.0,0.0,U,C,0.04
Curator of Mysteries,,AFC,Creature,,2UU,,4.0,0.0,U,R,0.48
Curator's Ward,,DOM,Enchantment,,2U,,3.0,0.0,U,U,0.26
Curfew,,USG,Instant,,U,,1.0,0.0,U,C,0.46
Curiosity,,JMP,Enchantment,,U,,1.0,0.0,U,U,1.5
Curiosity Crafter,,C21,Creature,,3U,,4.0,0.0,U,R,5.77
Curious Herd,,C20,Instant,,3G,,4.0,0.0,G,R,0.32
Curious Homunculus,Voracious Reader,EMN,Creature,Creature,1U,,2.0,0.0,U,U,0.24
Curious Obsession,,JMP,Enchantment,,U,,1.0,0.0,U,U,2.08
Curious Pair,Treats to Share,ELD,Creature,Sorcery,1G,G,2.0,1.0,G,C,0.18
Curio Vendor,,KLD,Creature,,1U,,2.0,0.0,U,C,0.05
Currency Converter,,NCC,Artifact,,1,,1.0,0.0,C,R,25.83
Curse Artifact,,DRK,Enchantment,,2BB,,4.0,0.0,B,U,1.03
Cursebreak,,AVR,Instant,,1W,,2.0,0.0,W,C,0.05
Cursecatcher,,A25,Creature,,U,,1.0,0.0,U,U,0.88
Cursed Firebreathing Yogurt,,SUN,,,,,0.0,0.0,C,C,0.17
Cursed Flesh,,TPR,Enchantment,,B,,1.0,0.0,B,C,0.1
Cursed Land,,5ED,Enchantment,,2BB,,4.0,0.0,B,U,9.74
Cursed Minotaur,,AKH,Creature,,2B,,3.0,0.0,B,C,0.06
Cursed Mirror,,C21,Artifact,,2R,,3.0,0.0,R,R,4.0
Cursed Monstrosity,,ODY,Creature,,4B,,5.0,0.0,B,R,0.11
Cursed Rack,,ME1,Artifact,,4,,4.0,0.0,C,U,2.68
Cursed Ronin,,CHK,Creature,,3B,,4.0,0.0,B,C,0.14
Cursed Scroll,,TPR,Artifact,,1,,1.0,0.0,C,M,4.14
Cursed Totem,,MH2,Artifact,,2,,2.0,0.0,C,R,2.43
Curse of Bloodletting,,DKA,Enchantment,,3RR,,5.0,0.0,R,R,1.48
Curse of Bounty,,C17,Enchantment,,1G,,2.0,0.0,G,U,1.33
Curse of Chains,,SHM,Enchantment,,1W/U,,3.0,0.0,WU,C,0.18
Curse of Chaos,,C13,Enchantment,,2R,,3.0,0.0,R,U,0.31
Curse of Clinging Webs,,MIC,Enchantment,,2G,,3.0,0.0,G,R,0.28
Curse of Conformity,,MIC,Enchantment,,4W,,5.0,0.0,W,R,0.16
Curse of Death's Hold,,ISD,Enchantment,,3BB,,5.0,0.0,B,R,0.47
Curse of Disturbance,,C21,Enchantment,,2B,,3.0,0.0,B,U,1.45
Curse of Echoes,,DKA,Enchantment,,4U,,5.0,0.0,U,R,0.4
Curse of Exhaustion,,DKA,Enchantment,,2WW,,4.0,0.0,W,U,0.24
Curse of Fool's Wisdom,,C19,Enchantment,,4BB,,6.0,0.0,B,R,4.58
Curse of Hospitality,,VOW,Enchantment,,2R,,3.0,0.0,R,R,0.5
Curse of Inertia,,CMA,Enchantment,,2U,,3.0,0.0,U,U,0.32
Curse of Leeches,Leeching Lurker,MID,Enchantment,Creature,2B,,3.0,0.0,B,R,0.29
Curse of Marit Lage,,ICE,Enchantment,,3RR,,5.0,0.0,R,R,0.42
Curse of Misfortunes,,DKA,Enchantment,,4B,,5.0,0.0,B,R,0.68
Curse of Oblivion,,ISD,Enchantment,,3B,,4.0,0.0,B,C,0.14
Curse of Obsession,,MIC,Enchantment,,4R,,5.0,0.0,R,R,0.25
Curse of Opulence,,CLB,Enchantment,,R,,1.0,0.0,R,U,2.26
Curse of Predation,,IMA,Enchantment,,2G,,3.0,0.0,G,R,0.26
Curse of Shaken Faith,,MID,Enchantment,,1R,,2.0,0.0,R,R,0.3
Curse of Shallow Graves,,C13,Enchantment,,2B,,3.0,0.0,B,U,0.57
Curse of Silence,,MID,Enchantment,,W,,1.0,0.0,W,R,0.28
Curse of Stalked Prey,,ISD,Enchantment,,1R,,2.0,0.0,R,R,0.29
Curse of Surveillance,,MID,Enchantment,,4U,,5.0,0.0,U,R,0.22
Curse of the Bloody Tome,,ISD,Enchantment,,2U,,3.0,0.0,U,C,0.52
Curse of the Cabal,,TSP,Sorcery,,9B,,10.0,0.0,B,R,3.23
Curse of the Forsaken,,CMA,Enchantment,,2W,,3.0,0.0,W,U,0.23
Curse of the Nightly Hunt,,CM2,Enchantment,,2R,,3.0,0.0,R,U,0.22
Curse of the Pierced Heart,,ISD,Enchantment,,1R,,2.0,0.0,R,C,0.21
Curse of the Restless Dead,,MIC,Enchantment,,2B,,3.0,0.0,B,R,2.16
Curse of the Swine,,CLB,Sorcery,,XUU,,2.0,0.0,U,R,0.38
Curse of Thirst,,DKA,Enchantment,,4B,,5.0,0.0,B,U,2.47
Curse of Unbinding,,MIC,Enchantment,,6U,,7.0,0.0,U,R,1.01
Curse of Vengeance,,C16,Enchantment,,B,,1.0,0.0,B,R,4.48
Curse of Verbosity,,CLB,Enchantment,,2U,,3.0,0.0,U,U,0.34
Curse of Vitality,,C17,Enchantment,,2W,,3.0,0.0,W,U,0.28
Curse of Wizardry,,ROE,Enchantment,,2BB,,4.0,0.0,B,U,0.23
Curtain of Light,,SOK,Instant,,1W,,2.0,0.0,W,C,0.15
Curtains' Call,,CLB,Instant,,5B,,6.0,0.0,B,R,0.9
Custodian of the Trove,,DTK,Creature Artifact,,3,,3.0,0.0,C,C,0.02
Custodi Lich,,NCC,Creature,,3BB,,5.0,0.0,B,R,0.26
Custodi Peacekeeper,,CN2,Creature,,2W,,3.0,0.0,W,C,0.11
Custodi Soulbinders,,VOC,Creature,,3W,,4.0,0.0,W,R,0.13
Custodi Soulcaller,,CN2,Creature,,1WW,,3.0,0.0,W,U,0.2
Custodi Squire,,VOC,Creature,,4W,,5.0,0.0,W,C,0.15
Custody Battle,,ONS,Enchantment,,1R,,2.0,0.0,R,U,0.33
Customs Depot,,MMQ,Enchantment,,1U,,2.0,0.0,U,U,0.17
Cut a Deal,,CLB,Sorcery,,2W,,3.0,0.0,W,U,0.34
Cut Down,,DMU,Instant,,B,,1.0,0.0,B,U,0.94
Cut of the Profits,,SNC,Sorcery,,XBB,,2.0,0.0,B,R,0.27
Cut,Ribbons,AKH,Sorcery,Sorcery,1R,XBB,2.0,2.0,BR,R,2.08
Cut the Earthly Bond,,SOK,Instant,,U,,1.0,0.0,U,C,0.1
Cut the Tethers,,CHK,Sorcery,,2UU,,4.0,0.0,U,U,0.13
Cutthroat Contender,,SNC,Creature,,B,,1.0,0.0,B,C,0.01
Cutthroat il-Dal,,TSR,Creature,,3B,,4.0,0.0,B,C,0.06
Cutthroat Maneuver,,THS,Instant,,3B,,4.0,0.0,B,U,0.04
Cut Your Losses,,SNC,Sorcery,,4UU,,6.0,0.0,U,R,0.52
Cyberdrive Awakener,,NEC,Creature Artifact,,5U,,6.0,0.0,U,R,6.03
Cybernetica Datasmith,,40K,Creature Artifact,,1UB,,3.0,0.0,UB,R,0.17
Cycle of Life,,MIR,Enchantment,,1GG,,3.0,0.0,G,R,1.08
Cyclical Evolution,,FUT,Sorcery,,3GG,,5.0,0.0,G,U,0.13
Cyclone,,ME4,Enchantment,,2GG,,4.0,0.0,G,R,12.71
Cyclone Sire,,OGW,Creature,,4U,,5.0,0.0,U,U,0.05
Cyclone Summoner,,KHM,Creature,,5UU,,7.0,0.0,U,R,0.31
Cyclonic Rift,,2XM,Instant,,1U,,2.0,0.0,U,R,44.26
"Cyclonus, the Saboteur","Cyclonus, Cybertronian Fighter",BOT,Creature Artifact,Artifact,2UB,,4.0,0.0,UB,M,3.1
Cyclopean Giant,,TSP,Creature,,2BB,,4.0,0.0,B,C,0.1
Cyclopean Mummy,,ME4,Creature,,1B,,2.0,0.0,B,C,0.16
Cyclopean Snare,,RAV,Artifact,,2,,2.0,0.0,C,U,0.04
Cyclopean Tomb,,ME4,Artifact,,4,,4.0,0.0,C,R,128.12
Cyclops Electromancer,,WAR,Creature,,4R,,5.0,0.0,R,U,0.12
Cyclops Gladiator,,M11,Creature,,1RRR,,4.0,0.0,R,R,0.12
Cyclops of Eternal Fury,,JOU,Enchantment Creature,,4RR,,6.0,0.0,R,U,0.1
Cyclops of One-Eyed Pass,,BNG,Creature,,2RR,,4.0,0.0,R,C,0.01
Cyclops Tyrant,,M14,Creature,,5R,,6.0,0.0,R,C,0.01
Cylian Elf,,ALA,Creature,,1G,,2.0,0.0,G,C,0.1
Cylian Sunsinger,,CON,Creature,,1G,,2.0,0.0,WRG,R,0.25
Cystbearer,,SOM,Creature,,2G,,3.0,0.0,G,C,0.22
Cytoplast Manipulator,,DIS,Creature,,2UU,,4.0,0.0,U,R,6.22
Cytoplast Root-Kin,,MM2,Creature,,2GG,,4.0,0.0,G,U,0.24
Cytoshape,,DIS,Instant,,1GU,,3.0,0.0,UG,R,0.28
Cytospawn Shambler,,DIS,Creature,,6G,,7.0,0.0,G,C,0.11
Dack Fayden,,EMA,Planeswalker,,1UR,,3.0,0.0,UR,M,18.02
Dack's Duplicate,,2X2,Creature,,2UR,,4.0,0.0,UR,R,1.03
Daemogoth Titan,,STX,Creature,,B/GB/GB/GB/G,,8.0,0.0,BG,R,0.58
Daemogoth Woe-Eater,,STX,Creature,,1BB/GG,,5.0,0.0,BG,U,0.21
Daggerback Basilisk,,M19,Creature,,2G,,3.0,0.0,G,C,0.09
Dagger Caster,,RNA,Creature,,3R,,4.0,0.0,R,U,0.12
Daggerclaw Imp,,MM2,Creature,,2B,,3.0,0.0,B,U,0.08
Daggerdrome Imp,,BBD,Creature,,1B,,2.0,0.0,B,C,0.06
Dagger of the Worthy,,HOU,Artifact,,2,,2.0,0.0,C,U,0.06
Daggersail Aeronaut,,M20,Creature,,3R,,4.0,0.0,R,C,0.02
Daghatar the Adamant,,FRF,Creature,,3W,,4.0,0.0,WBG,R,0.3
Daily Regimen,,DDL,Enchantment,,W,,1.0,0.0,W,U,0.16
Dakkon Blackblade,,ME1,Creature,,2WUUB,,6.0,0.0,WUB,R,50.17
"Dakkon, Shadow Slayer",,MH2,Planeswalker,,WUB,,3.0,0.0,WUB,M,1.52
Dakmor Bat,,P02,Creature,,1B,,2.0,0.0,B,C,0.21
Dakmor Ghoul,,S99,Creature,,2BB,,4.0,0.0,B,U,2.7
Dakmor Lancer,,7ED,Creature,,4BB,,6.0,0.0,B,U,0.36
Dakmor Plague,,ME4,Sorcery,,3BB,,5.0,0.0,B,U,0.4
Dakmor Salvage,,UMA,Land,,,,0.0,0.0,B,U,0.77
Dakmor Scorpion,,S99,Creature,,1B,,2.0,0.0,B,C,0.11
Dakmor Sorceress,,S99,Creature,,5B,,6.0,0.0,B,R,6.0
Dakra Mystic,,JOU,Creature,,U,,1.0,0.0,U,U,0.21
"Dalakos, Crafter of Wonders",,THB,Creature,,1UR,,3.0,0.0,UR,R,0.45
"Damia, Sage of Stone",,CM2,Creature,,4BGU,,7.0,0.0,UBG,M,4.78
Damn,,MH2,Sorcery,,BB,,2.0,0.0,WB,R,3.36
Damnable Pact,,NCC,Sorcery,,XBB,,2.0,0.0,B,R,0.56
Damnation,,2X2,Sorcery,,2BB,,4.0,0.0,B,R,42.55
Damning Verdict,,NCC,Sorcery,,3WW,,5.0,0.0,W,R,4.9
Dampening Pulse,,BFZ,Enchantment,,3U,,4.0,0.0,U,U,0.06
Dampen Thought,,MMA,Instant,,1U,,2.0,0.0,U,C,0.15
Damping Engine,,ULG,Artifact,,4,,4.0,0.0,C,R,0.65
Damping Field,,ATQ,Enchantment,,2W,,3.0,0.0,W,U,27.1
Damping Matrix,,MM3,Artifact,,3,,3.0,0.0,C,R,0.26
Damping Sphere,,DOM,Artifact,,2,,2.0,0.0,C,U,0.63
Dance of Many,,ME3,Enchantment,,UU,,2.0,0.0,U,U,3.57
Dance of Shadows,,CHK,Sorcery,,3BB,,5.0,0.0,B,U,0.03
Dance of the Dead,,ME2,Enchantment,,1B,,2.0,0.0,B,U,12.92
Dance of the Manse,,NEC,Sorcery,,XWU,,2.0,0.0,WU,R,1.79
Dance of the Skywise,,DTK,Instant,,1U,,2.0,0.0,U,U,0.17
Dance with Devils,,JMP,Instant,,3R,,4.0,0.0,R,U,0.1
Dancing Scimitar,,9ED,Creature Artifact,,4,,4.0,0.0,C,U,14.9
Dancing Sword,,AFR,Artifact,,1W,,2.0,0.0,W,R,1.46
Dandân,,TSB,Creature,,UU,,2.0,0.0,U,S,5.44
Dangerous Wager,,AVR,Instant,,1R,,2.0,0.0,R,C,0.16
"Danitha, Benalia's Hope",,DMU,Creature,,4W,,5.0,0.0,W,R,0.74
"Danitha Capashen, Paragon",,CMR,Creature,,2W,,3.0,0.0,W,U,1.76
Danse Macabre,,AFC,Sorcery,,3BB,,5.0,0.0,B,R,0.24
Dapper Shieldmate,,SNC,Creature,,3W,,4.0,0.0,W,C,0.02
Daraja Griffin,,6ED,Creature,,3W,,4.0,0.0,W,U,0.18
Darba,,PCY,Creature,,3G,,4.0,0.0,G,U,0.15
Daredevil Dragster,,AER,Artifact,,3,,3.0,0.0,C,U,0.1
"Daretti, Ingenious Iconoclast",,CN2,Planeswalker,,1BR,,3.0,0.0,BR,M,35.53
"Daretti, Scrap Savant",,PHE,Planeswalker,,3R,,4.0,0.0,R,M,2.73
"Dargo, the Shipwrecker",,CMR,Creature,,6R,,7.0,0.0,R,U,0.39
"Darien, King of Kjeldor",,A25,Creature,,4WW,,6.0,0.0,W,R,6.86
Darigaaz Reincarnated,,DOM,Creature,,4BRG,,7.0,0.0,BRG,M,7.46
Darigaaz's Attendant,,INV,Creature Artifact,,5,,5.0,0.0,BRG,U,0.22
Darigaaz's Caldera,,PLS,Land,,,,0.0,0.0,BRG,U,1.16
Darigaaz's Charm,,DDE,Instant,,BRG,,3.0,0.0,BRG,U,0.22
"Darigaaz, the Igniter",,DDE,Creature,,3BRG,,6.0,0.0,BRG,R,1.35
Daring Apprentice,,9ED,Creature,,1UU,,3.0,0.0,U,R,0.31
Daring Archaeologist,,DOM,Creature,,3W,,4.0,0.0,W,R,0.23
Daring Buccaneer,,RIX,Creature,,R,,1.0,0.0,R,U,0.1
Daring Demolition,,AER,Sorcery,,2BB,,4.0,0.0,B,C,0.06
Daring Escape,,SNC,Instant,,R,,1.0,0.0,R,C,0.02
Daring Fiendbonder,,C20,Creature,,3B,,4.0,0.0,B,R,0.35
Daring Leap,,PLS,Instant,,1WU,,3.0,0.0,WU,C,0.11
Daring Piracy,,J22,Enchantment,,2R,,3.0,0.0,R,U,0.21
Daring Saboteur,,NCC,Creature,,1U,,2.0,0.0,U,U,0.24
Daring Skyjek,,GTC,Creature,,1W,,2.0,0.0,W,C,0.1
Daring Sleuth,Bearer of Overwhelming Truths,SOI,Creature,Creature,1U,,2.0,0.0,U,U,0.11
Daring Thief,,JOU,Creature,,2U,,3.0,0.0,U,R,0.21
Dark Apostle,,40K,Creature,,3R,,4.0,0.0,R,R,0.17
Dark Banishing,,TPR,Instant,,2B,,3.0,0.0,B,C,0.19
Dark Bargain,,IKO,Instant,,3B,,4.0,0.0,B,C,0.04
Dark Betrayal,,THS,Instant,,B,,1.0,0.0,B,U,0.07
Darkblade Agent,,GRN,Creature,,1UB,,3.0,0.0,UB,C,0.03
Darkblast,,RAV,Instant,,B,,1.0,0.0,B,U,0.51
Darkbore Pathway,Slitherbore Pathway,KHM,Land,Land,,,0.0,0.0,BG,R,5.71
Dark Confidant,,2XM,Creature,,1B,,2.0,0.0,B,M,54.77
Dark Dabbling,,UMA,Instant,,2B,,3.0,0.0,B,C,0.09
Dark Deal,,FRF,Sorcery,,2B,,3.0,0.0,B,U,3.34
Dark Depths,,2XM,Land,,,,0.0,0.0,C,M,21.04
Dark-Dweller Oracle,,2X2,Creature,,1R,,2.0,0.0,R,C,0.5
Darkest Hour,,7ED,Enchantment,,B,,1.0,0.0,B,R,4.37
Dark Favor,,M14,Enchantment,,1B,,2.0,0.0,B,C,0.04
Dark Hatchling,,CLB,Creature,,4BB,,6.0,0.0,B,R,0.16
Dark Heart of the Wood,,RAV,Enchantment,,BG,,2.0,0.0,BG,U,0.26
Darkheart Sliver,,TSR,Creature,,BG,,2.0,0.0,BG,U,0.24
Dark Impostor,,VOC,Creature,,2B,,3.0,0.0,B,R,0.21
Dark Inquiry,,RIX,Sorcery,,2B,,3.0,0.0,B,C,0.05
Dark Intimations,,AER,Sorcery,,2UBR,,5.0,0.0,UBR,R,0.74
Darkling Stalker,,TMP,Creature,,3B,,4.0,0.0,B,C,0.12
Darklit Gargoyle,,CON,Creature Artifact,,1W,,2.0,0.0,WB,C,0.14
Dark Maze,,5ED,Creature,,4U,,5.0,0.0,U,C,0.14
Darkmoss Bridge,,MH2,Land Artifact,,,,0.0,0.0,BG,C,0.1
Darkness,,TSB,Instant,,B,,1.0,0.0,B,S,9.14
Dark Nourishment,,XLN,Instant,,4B,,5.0,0.0,B,U,0.04
Dark Offering,,S99,Sorcery,,4BB,,6.0,0.0,B,U,0.22
Dark Petition,,ORI,Sorcery,,3BB,,5.0,0.0,B,R,7.3
Dark Privilege,,VIS,Enchantment,,1B,,2.0,0.0,B,C,0.24
Dark Prophecy,,M14,Enchantment,,BBB,,3.0,0.0,B,R,3.84
Dark Remedy,,M20,Instant,,1B,,2.0,0.0,B,C,0.15
Dark Revenant,,RTR,Creature,,3B,,4.0,0.0,B,U,0.04
Dark Ritual,,A25,Instant,,B,,1.0,0.0,B,C,17.77
Dark Salvation,,MIC,Sorcery,,XXB,,1.0,0.0,B,R,1.28
Darkslick Drake,,SOM,Creature,,2UU,,4.0,0.0,U,U,0.07
Darkslick Shores,,SOM,Land,,,,0.0,0.0,UB,R,6.69
Dark Sphere,,DRK,Artifact,,0,,0.0,0.0,C,U,10.76
Darksteel Axe,,2XM,Artifact,,1,,1.0,0.0,C,C,0.09
Darksteel Brute,,DST,Artifact,,2,,2.0,0.0,C,U,0.15
Darksteel Citadel,,C21,Land Artifact,,,,0.0,0.0,C,U,1.96
Darksteel Colossus,,M10,Creature Artifact,,11,,2.0,0.0,C,M,11.37
Darksteel Forge,,2XM,Artifact,,9,,9.0,0.0,C,M,29.76
Darksteel Gargoyle,,TD2,Creature Artifact,,7,,7.0,0.0,C,U,0.18
Darksteel Garrison,,FUT,Artifact,,2,,2.0,0.0,C,R,0.34
Darksteel Ingot,,CM2,Artifact,,3,,3.0,0.0,C,U,0.5
Darksteel Juggernaut,,C18,Creature Artifact,,5,,5.0,0.0,C,R,9.89
Darksteel Mutation,,VOC,Enchantment,,1W,,2.0,0.0,W,U,2.55
Darksteel Myr,,SOM,Creature Artifact,,3,,3.0,0.0,C,U,0.37
Darksteel Pendant,,DST,Artifact,,2,,2.0,0.0,C,C,0.2
Darksteel Plate,,2X2,Artifact,,3,,3.0,0.0,C,R,9.01
Darksteel Reactor,,DST,Artifact,,4,,4.0,0.0,C,R,9.78
Darksteel Relic,,NPH,Artifact,,0,,0.0,0.0,C,U,0.55
Darksteel Sentinel,,TD2,Creature Artifact,,6,,6.0,0.0,C,U,0.28
Dark Supplicant,,LGN,Creature,,B,,1.0,0.0,B,U,0.24
Dark Suspicions,,PLS,Enchantment,,2BB,,4.0,0.0,B,R,0.32
Dark Temper,,CON,Instant,,2R,,3.0,0.0,R,C,0.06
Darkthicket Wolf,,ISD,Creature,,1G,,2.0,0.0,G,C,0.11
Dark Triumph,,NEM,Instant,,4B,,5.0,0.0,B,U,0.17
Dark Tutelage,,M11,Enchantment,,2B,,3.0,0.0,B,R,0.52
Darkwatch Elves,,ULG,Creature,,2G,,3.0,0.0,G,U,0.12
Darkwater Catacombs,,CLB,Land,,,,0.0,0.0,UB,R,0.22
Darkwater Egg,,ODY,Artifact,,1,,1.0,0.0,UB,U,0.24
Dark Withering,,TSR,Instant,,4BB,,6.0,0.0,B,C,0.1
Darling of the Masses,,SNC,Creature,,2GW,,4.0,0.0,WG,U,0.02
Darting Merfolk,,MMQ,Creature,,1U,,2.0,0.0,U,C,0.44
Daru Cavalier,,ONS,Creature,,3W,,4.0,0.0,W,C,0.09
Daru Encampment,,DDF,Land,,,,0.0,0.0,W,U,0.16
Daru Healer,,ONS,Creature,,2W,,3.0,0.0,W,C,0.06
Daru Lancer,,ONS,Creature,,4WW,,6.0,0.0,W,C,0.14
Daru Mender,,LGN,Creature,,W,,1.0,0.0,W,U,0.17
Daru Sanctifier,,LGN,Creature,,3W,,4.0,0.0,W,C,0.12
Daru Spiritualist,,SCG,Creature,,1W,,2.0,0.0,W,C,0.15
Daru Stinger,,LGN,Creature,,3W,,4.0,0.0,W,C,0.13
Daru Warchief,,SCG,Creature,,2WW,,4.0,0.0,W,U,3.69
"Daryl, Hunter of Walkers",,SLD,Creature,,2RG,,4.0,0.0,RG,M,3.18
Dash Hopes,,PLC,Instant,,BB,,2.0,0.0,B,C,0.5
Daughter of Autumn,,HML,Creature,,2GG,,4.0,0.0,WG,R,0.99
Daunting Defender,,ONS,Creature,,4W,,5.0,0.0,W,C,0.11
Dauntless Aven,,HOU,Creature,,2W,,3.0,0.0,W,C,0.03
Dauntless Bodyguard,,DOM,Creature,,W,,1.0,0.0,W,U,0.2
Dauntless Cathar,,A25,Creature,,2W,,3.0,0.0,W,C,0.03
Dauntless Dourbark,,LRW,Creature,,3G,,4.0,0.0,G,R,8.46
Dauntless Escort,,2X2,Creature,,1GW,,3.0,0.0,WG,R,0.44
Dauntless Onslaught,,JMP,Instant,,2W,,3.0,0.0,W,U,0.05
Dauntless River Marshal,,M15,Creature,,1W,,2.0,0.0,WU,U,0.06
Dauntless Survivor,,ZNR,Creature,,1G,,2.0,0.0,G,C,0.02
Dauntless Unity,,ZNR,Instant,,1W,,2.0,0.0,W,C,0.02
Dauthi Cutthroat,,EXO,Creature,,1B,,2.0,0.0,B,U,0.3
Dauthi Embrace,,TMP,Enchantment,,2B,,3.0,0.0,B,U,6.1
Dauthi Ghoul,,TMP,Creature,,1B,,2.0,0.0,B,U,0.33
Dauthi Horror,,CLB,Creature,,1B,,2.0,0.0,B,C,0.19
Dauthi Jackal,,TPR,Creature,,2B,,3.0,0.0,B,C,0.13
Dauthi Marauder,,TPR,Creature,,2B,,3.0,0.0,B,U,0.13
Dauthi Mercenary,,VMA,Creature,,2B,,3.0,0.0,B,C,0.22
Dauthi Mindripper,,TMP,Creature,,3B,,4.0,0.0,B,U,0.28
Dauthi Slayer,,TPR,Creature,,BB,,2.0,0.0,B,U,5.87
Dauthi Trapper,,STH,Creature,,2B,,3.0,0.0,B,U,0.29
Dauthi Voidwalker,,MH2,Creature,,BB,,2.0,0.0,B,R,9.64
Dauthi Warlord,,TPR,Creature,,1B,,2.0,0.0,B,U,0.33
D'Avenant Archer,,ME3,Creature,,2W,,3.0,0.0,W,C,0.15
D'Avenant Healer,,TSP,Creature,,1WW,,3.0,0.0,W,C,0.07
D'Avenant Trapper,,DOM,Creature,,2W,,3.0,0.0,W,C,0.03
"Davriel, Rogue Shadowmage",,WAR,Planeswalker,,2B,,3.0,0.0,B,U,14.62
Davriel's Shadowfugue,,WAR,Sorcery,,3B,,4.0,0.0,B,C,0.02
Dawnbreak Reclaimer,,CM2,Creature,,4WW,,6.0,0.0,W,R,0.98
Dawnbringer Charioteers,,JOU,Creature,,2WW,,4.0,0.0,W,R,0.22
Dawnbringer Cleric,,CLB,Creature,,1W,,2.0,0.0,W,C,0.1
Dawn Charm,,CMR,Instant,,1W,,2.0,0.0,W,U,0.43
Dawn Elemental,,SCG,Creature,,WWWW,,4.0,0.0,W,R,0.36
Dawn Evangel,,THB,Enchantment Creature,,2W,,3.0,0.0,W,U,0.05
Dawnfeather Eagle,,AER,Creature,,4W,,5.0,0.0,W,C,0.04
Dawnfluke,,LRW,Creature,,3W,,4.0,0.0,W,C,0.1
Dawnglade Regent,,CMR,Creature,,5GG,,7.0,0.0,G,R,0.58
Dawnglare Invoker,,CM2,Creature,,2W,,3.0,0.0,W,C,0.12
Dawnglow Infusion,,SHM,Sorcery,,XG/W,,2.0,0.0,WG,U,0.27
Dawn Gryff,,EMN,Creature,,2W,,3.0,0.0,W,C,0.02
Dawnhart Disciple,,VOW,Creature,,1G,,2.0,0.0,G,C,0.06
Dawnhart Geist,,VOW,Creature,,1W,,2.0,0.0,W,U,0.06
Dawnhart Mentor,,MID,Creature,,2G,,3.0,0.0,G,U,0.03
Dawnhart Rejuvenator,,MID,Creature,,3G,,4.0,0.0,G,C,0.04
Dawnhart Wardens,,MID,Creature,,1GW,,3.0,0.0,WG,U,0.02
Dawning Angel,,M20,Creature,,4W,,5.0,0.0,W,C,0.08
Dawning Purist,,ONS,Creature,,2W,,3.0,0.0,W,U,0.12
Dawn of Hope,,GRN,Enchantment,,1W,,2.0,0.0,W,R,2.03
Dawn of the Dead,,TOR,Enchantment,,2BBB,,5.0,0.0,B,R,2.68
Dawnray Archer,,ALA,Creature,,2U,,3.0,0.0,WU,U,0.12
Dawn's Reflection,,C18,Enchantment,,3G,,4.0,0.0,G,C,0.27
Dawnstrider,,MMQ,Creature,,1G,,2.0,0.0,G,R,3.88
Dawnstrike Paladin,,DDL,Creature,,3WW,,5.0,0.0,W,C,0.07
Dawn to Dusk,,C15,Sorcery,,2WW,,4.0,0.0,W,U,0.1
Dawntreader Elk,,JMP,Creature,,1G,,2.0,0.0,G,C,0.18
"Daxos, Blessed by the Sun",,THB,Enchantment Creature,,WW,,2.0,0.0,W,U,3.58
Daxos of Meletis,,NCC,Creature,,1WU,,3.0,0.0,WU,R,0.17
Daxos's Torment,,C15,Enchantment,,3B,,4.0,0.0,B,R,0.22
Daxos the Returned,,C15,Creature,,1WB,,3.0,0.0,WB,M,3.58
Daybreak Chaplain,,M20,Creature,,1W,,2.0,0.0,W,C,0.07
Daybreak Charger,,M21,Creature,,1W,,2.0,0.0,W,C,0.08
Daybreak Chimera,,THB,Creature,,3WW,,5.0,0.0,W,C,0.03
Daybreak Combatants,,VOW,Creature,,2R,,3.0,0.0,R,C,0.04
Daybreak Coronet,,UMA,Enchantment,,WW,,2.0,0.0,W,R,7.25
Daybreak Ranger,Nightfall Predator,ISD,Creature,Creature,2G,,3.0,0.0,RG,R,0.48
Day of Destiny,,DMC,Enchantment,,3W,,4.0,0.0,W,R,2.71
Day of Judgment,,M12,Sorcery,,2WW,,4.0,0.0,W,R,3.31
Day of the Dragons,,KHC,Enchantment,,4UUU,,7.0,0.0,U,R,0.2
Daysquad Marshal,,IKO,Creature,,3W,,4.0,0.0,W,C,0.04
Day's Undoing,,ORI,Sorcery,,2U,,3.0,0.0,U,M,7.48
Daze,,EMA,Instant,,1U,,2.0,0.0,U,U,20.39
Dazzling Beauty,,MIR,Instant,,2W,,3.0,0.0,W,C,0.1
Dazzling Lights,,GRN,Instant,,U,,1.0,0.0,U,C,0.12
Dazzling Ramparts,,KTK,Creature,,4W,,5.0,0.0,W,U,0.07
Dazzling Reflection,,OGW,Instant,,1W,,2.0,0.0,W,C,0.06
Dazzling Sphinx,,C21,Creature,,3UU,,5.0,0.0,U,R,0.72
Deadapult,,PLS,Enchantment,,2R,,3.0,0.0,R,R,0.19
Deadbeat Attendant,,UNF,Creature,,1B,,2.0,0.0,B,C,0.97
Deadbridge Chant,,C20,Enchantment,,4BG,,6.0,0.0,BG,M,0.57
Deadbridge Goliath,,RTR,Creature,,2GG,,4.0,0.0,G,R,0.19
Deadbridge Shaman,,EMA,Creature,,2B,,3.0,0.0,B,C,0.09
